Title,Rating,Genre,Description,Release year,Casts,Country
"My Room, Row 1 (2018)",Three Stars,"Drama , Kshow , Korean | Episodes 100+","All the latest episode about the 180615 My Room, Row 1 Episode 7 (English Subs) has been launched. Keeps you updated on the newest episode My Room, Row 1 from the methekpop.",Release: 2018,not available,Korean
Crime Puzzle (2021),Three & Half Stars,"Drama , Mystery , Psychological , Romance , Thriller , Korean | Episodes 10+","""Crime Puzzle"" is a story where a criminal psychologist is sent to prison for murdering a political candidate, and the criminal profiler who loses her father to the murder is conducting interviews with the murderer for a case that occurs within the prison. These two used to be lovers just a year ago, until they meet again as a murderer and a criminal profiler, and face the unexpected truth to a series of murders. The thriller focuses on the process of them putting the pieces together, like a puzzle. ",Release: 2021,"{'', 'Kim Roe Ha\nSupport Role', 'Kwon Soo Hyun\nSupport Role', 'Support Role', 'Woo Hyun\nSupport Role', 'Oh Cho Hee\nSupport Role', 'Choi Jong Gil\nUnknown Role', 'Song Sun Mi\nSupport Role', 'Go Ah Sung\nMain Role', 'Go Jae Hyun\nUnknown Role', 'Yoon Kye Sang\nMain Role', 'Yoon Jong Seok\nSupport Role', 'Seo Ji Hye\nSupport Role', 'Yoon Gyung Ho\nSupport Role', 'Park Eun Byul\nSupport Role', 'Jin So Yeon\nSupport Role'}",Korean
Dongchimi (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episode 500",A night-time talk show with a panel of celebrities.,Release: 2017,not available,Korean
I Love Movie (2020),Two & Half Stars,"Drama , Kshow , Korean | Episodes 1000+","""I Love Movie"" is a movie review show which reviews movies both classic and recent.",Release: 2020,not available,Korean
Chung Chun Hyang Jeon (2021),Four Stars,"Drama , Drama , Romance , Korean | Episodes 10","“Chung Chun Hyang Jeon” will tell the story of 24-year-old Chun Hyang in 2021, who works as a staff member at a guesthouse to repay her student debt. She fell in love with Mong Ryong when she was 18, but lost contact with him for six years after he moved to Seoul. He suddenly returns as a medical student, but a young entrepreneur named Byun Hak Do shakes things up for the couple. The drama is inspired by renown tale of Chunhyang. ",Release: 2021,"{'Sei\nMain Role', 'Elly\nSupport Role', 'Rocky\nMain Role', 'Kim Do Kyung\nSupport Role'}",Korean
Analog Trip 2 (2021),One & Half Star,"Drama , Adventure , Kshow , Korean | Episodes 12",New season with NCT 127. ,Release: 2021,"{'Mark Lee\nRegular Member', 'Hae Chan\nRegular Member', 'Moon Tae Il\nRegular Member', 'Lee Tae Yong\nRegular Member', 'Jae Hyun\nRegular Member', 'Kim Do Young\nRegular Member', 'Kim Jung Woo\nRegular Member', 'Johnny\nRegular Member', 'Yuta\nRegular Member'}",Korean
NCT DREAM King of Cooking (2020),Not Rated,"Drama , Comedy , Food , Friendship , Kshow , Korean | Episodes 3","General Manager Jeno invites two global-class cooking teams, Serious Team (Renjun & Jaemin) and Chenle & Jisung's This and That Team (Chenle & Jisung) to compete against each other in who can make the most delicious menu.",Release: 2020,"{'Park Ji Sung\nMain Host', 'Huang Ren Jun\nMain Host', 'Lee Je No\nMain Host', 'Na Jae Min\nMain Host', 'Zhong Chen Le\nMain Host'}",Korean
NCT 127 BATTLE GAME: Office Final Round (2020),Not Rated,"Drama , Kshow , Music , Korean | Episodes 4",NCT 127 split into three teams and battle it out to find out which team is the best in the company.,Release: 2020,"{'Mark Lee\nMain Host', 'Hae Chan\nMain Host', 'Yuta\nMain Host', 'Kim Jung Woo\nMain Host', 'Moon Tae Il\nMain Host', 'Johnny\nMain Host', 'Jae Hyun\nMain Host', 'Kim Do Young\nMain Host', 'Lee Tae Yong\nMain Host'}",Korean
Oh! Pil Seung And Bong Soon Young (2004),Five Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 16","Oh Pil Seung is a free-spirited, but somewhat lazy regular joe who suddenly finds himself heir apparent to a top-level logistics company! With rivals and detractors simply waiting for him to foul up, will Pil Seung be able to rise to the challenge? Or will white-collar intellectuals and their snobby ways force this blue-collar everyman out?",Release: 2004,"{'', 'Support Role', 'Gong Jae Won\nGuest Role', 'Park Soo Hyun\nSupport Role', 'Jang Yong\nSupport Role', 'Ahn Jae Wook\nMain Role', 'Kim Ha Eun\nSupport Role', 'Park Sun Young\nMain Role', 'Yeo Woon Kye\nSupport Role', 'Kang Eun Kyung\nUnknown Role', 'Wu Gyeong Jin\nBit part', 'Moon Cheon Shik\nSupport Role', 'Ji Young Soo\nUnknown Role', 'Ryu Jin\nMain Role', 'Jung Kang Hee\nGuest Role', 'Jung Seok Yong\nSupport Role', 'Lee Jung Gil\nSupport Role', 'Kim Cheol Kyu\nUnknown Role', 'Main Role', 'Shin Dong Wook\nSupport Role'}",Korean
Every Question (2013),Three & Half Stars,"Drama , Kshow , Korean | Episode 5000+","A variety show that shares useful tips and information about health, food, science, and economics.",Release: 2013,not available,Korean
Secrets Of Nature (2012),Three Stars,"Drama , Game-Show , Kshow , Korean | Episode 350+",Individuals who overcame illnesses share their secrets to healthy life as well as easy and healthy recipes.,Release: 2012,not available,Korean
Brad PT and GYM Carrey (2021),Not Rated,"Drama , Kshow , Korean | Episodes 10",Brad PT and GYM Carrey,Release: 2021,"{'Lee Ki Kwang\nMain Host', 'Kim Sook\nMain Host', 'Lee Hyun Yi\nMain Host'}",Korean
Adult Trainee (2021),Three Stars,"Drama , Drama , Korean | Episodes 7","""Adult Trainee"" tells the tale of hormonal teenagers as their bodies mature. There is Jae Min, who gets addicted to masturbation, conservative Yu Ra who begins a risqué rendezvous with her male friend and overweight Na Eun who’s never had a boyfriend before. The drama aims to express the raw and truthful worries and love stories of 18 year olds in a way that Gen Z can relate to. ",Release: 2021,"{'Cho Mi Yeon\nMain Role', 'Ryu Ui Hyun\nMain Role', 'Jang Sung Yoon\nMain Role', 'Jo Yoo Jung\nMain Role', 'Kim Min Ki\nMain Role', 'Lee Hwi Won\nGuest Role'}",Korean
Work Later Drink Now (2021),Three & Half Stars,"Drama , Drama , Korean | Episodes 10+","Ahn So Hee, Han Ji Yeon, and Kang Ji Gu enjoy meeting after work and drinking together. The three women are single and in their 30's. Their jobs have So Hee works as a broadcasting writer, Ji Yeon as a yoga instructor, and Ji Gu as a YouTuber. Meanwhile, Kang Buk Gu works as a PD of the TV variety show. He hangs out with the 3 women.",Release: 2021,"{'Jung Eun Ji\nMain Role', 'Jung Eun Pyo\nGuest Role', 'Han Sun Hwa\nMain Role', 'Han Ji Hyo\nSupport Role', 'Choi Shi Won\nMain Role', 'Lee Seon Bin\nMain Role'}",Korean
NCT DREAM Ridin’ Club (2020),Three Stars,"Drama , Comedy , Kshow , Korean | Episodes 4",NCT DREAM Ridin’ Club,Release: 2020,"{'Hae Chan\nMain Host', 'Park Ji Sung\nMain Host', 'Huang Ren Jun\nMain Host', 'Lee Je No\nMain Host', 'Na Jae Min\nMain Host', 'Zhong Chen Le\nMain Host'}",Korean
RCPChoice (2021),Not Rated,"Drama , Comedy , Friendship , Kshow , Music , Korean | Episodes 4","Rocket Punch members' choices will determine their fate! As the members cautiously decide on their choices, big or small, it will determine the outcome and consequences they will have to face and do missions along the way. ",Release: 2021,"{'Jung Da Hyun\nRegular Member', 'Seo Yun Kyoung\nRegular Member', 'Kim Su Yun\nRegular Member', 'Kim Yeon Hee\nRegular Member', 'Takahashi Juri\nRegular Member', 'Kim So Hee\nRegular Member'}",Korean
Juriful Days (2020),Not Rated,"Drama , Documentary , Friendship , Kshow , Life , Music , Korean | Episodes 8","A look into the daily life of Rocket Punch's sole foreign member, Takahashi Juri. ",Release: 2020,"{'Jung Da Hyun\nRegular Member', 'Seo Yun Kyoung\nRegular Member', 'Kim Su Yun\nRegular Member', 'Kim Yeon Hee\nRegular Member', 'Takahashi Juri\nRegular Member', 'Kim So Hee\nRegular Member'}",Korean
Juriful Days 2 (2021),Not Rated,"Drama , Documentary , Drama , Friendship , Life , Music , Korean | Episodes 8",The second season of Takahashi Juri's documentary series. ,Release: 2021,"{'Jung Da Hyun\nRegular Member', 'Seo Yun Kyoung\nRegular Member', 'Kim Su Yun\nRegular Member', 'Kim Yeon Hee\nRegular Member', 'Takahashi Juri\nRegular Member', 'Kim So Hee\nRegular Member'}",Korean
Heartbeat Broadcasting Accident (2021),Three Stars,"Drama , Drama , Fantasy , Romance , Korean | Episodes 10+","A fantasy office drama where Yoon Yi Seo, a young woman in her twenties, begins working at a live commerce platform. She will encounter challenges in both work and love, as she finds herself in the middle of a love struggle between her first love Cha Sun Woo and her longtime friend Kwon Hyuk.",Release: 2021,"{'Jung Min Gyu\nSupport Role', 'Im Na Young\nMain Role', 'Zu Ho\nMain Role', 'Yang Hak Jin\nGuest Role', 'Lee Hyun Joo\nGuest Role'}",Korean
Punch Time (2019),Not Rated,"Drama , Kshow , Music , Korean | Episodes 10",Punch Time,Release: 2019,not available,Korean
The Lord Of The Thumb (2013),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 500",Experts from a variety of fields share the secret to longevity and healthy life as well as amazing facts about the human body.,Release: 2013,not available,Korean
Bite Sisters (2021),Three Stars,"Drama , Drama , Fantasy , Korean | Episodes 10+","About Han Yi Na who is an 821-year-old vampire who can’t stand seeing injustice. When she unexpectedly becomes a trendsetting influencer with over a million followers, Han Yi Na uses her power to secretly help those in need.",Release: 2021,"{'Choi Yoo Hwa\nMain Role', 'Kim Young Ah\nMain Role', 'Kang Han Na\nMain Role', 'Lee Shin Young\nMain Role'}",Korean
Keu Keu Island's Secret (2008),Not Rated,"Drama , Adventure , Friendship , Kshow , Romance , Sitcom , Korean | Episodes 40","Ten employees in a company drift off to an inhabited island after an accident that occurred at sea during their company trip. Since all ten employee were drunk before the accident occurred, they have no recollection of how they came to be stranded on the island. This sitcom follows the journey that these characters go through and how they survive on this stranded island called Keu Keu Island. ",Release: 2008,"{'', 'Kim Jung Min\nMain Role', 'Song Jae Jung\nUnknown Role', 'Lee Da Hee\nUnknown', 'Shin Sung Woo\nMain Role', 'Lee Hang Na\nSupport Role', 'Kim Sun Kyung\nUnknown', 'Shim Hyung Tak\nMain Role', 'Support Role', 'Kim Yoon Joo\nUnknown Role', 'Yoon Sang Hyun\nMain Role', 'Lee Sang Woo\nUnknown', 'Lee Sang Won\nSupport Role', 'Unknown', 'Kim Kwang Gyu\nMain Role', 'Jung Il Woo\nGuest Role', 'Kim Shi Hoo\nMain Role', 'Main Role'}",Korean
ID : ROCKET PUNCH 2 (2020),Not Rated,"Drama , Friendship , Kshow , Life , Korean | Episodes 15",ID : ROCKET PUNCH 2,Release: 2020,"{'Kim Yeon Hee\nMain Host', 'Kim So Hee\nMain Host', 'Takahashi Juri\nMain Host', 'Seo Yun Kyoung\nMain Host', 'Jung Da Hyun\nMain Host', 'Kim Su Yun\nMain Host'}",Korean
BTS in the Soop Season 2 (2021),Three Stars,"Drama , Adventure , Comedy , Drama , Life , Youth , Korean | Episodes 5+","""BTS in the Soop Season 2"" is HYBE's entertainment reality program, which contains a healing story in the forest, this time in Pyeongchang-gun, Gangwon-do, South Korea. Here all seven BTS members enjoy their time separately and together.",Release: 2021,"{'Suga\nRegular Member', 'V\nRegular Member', 'J-Hope\nRegular Member', 'Park Ji Min\nRegular Member', 'RM\nRegular Member', 'Jin\nRegular Member', 'Jun Jung Kook\nRegular Member'}",Korean
Time to be together 1:11 (2021),Three Stars,"Drama , Drama , Music , Romance , Youth , Korean | Episodes 10","Tells the story of a woman and a man who can't forget their first love. The two leads' time stop every time it's 1:11, and they think about the memories of their first love.",Release: 2021,"{'', 'Choi Hye Jin\nMain Role', 'Kim Min Hyuk\nGuest Role', 'Yoon Song Ah\nSupport Role', 'Lee Hyun Ho\nMain Role', 'Kim Na Yun\nMain Role', 'Ji Hyun Wook\nGuest Role', 'Jang Dong Joo\nMain Role', 'Yoon Chae Kyung\nMain Role', 'Bang Eun Hee\nSupport Role', 'Seo Seung Man\nSupport Role', 'Dylan\nMain Role', 'Park Hyun Oh\nGuest Role', 'Main Role', 'Park Jung Seung\nGuest Role'}",Korean
Want More 19 (2018),Not Rated,"Drama , Comedy , Drama , Friendship , Romance , Korean | Episodes 7","A story of 5 friends in high school. A mutual crush, a one-sided love, and a rough patch for sweethearts. All of this happens as exams come up, will they be able to confess their love?",Release: 2018,"{'Nam Yoon Soo\nMain Role', 'Choi Yo Ji\nUnknown Role', 'Shin Gi Hwan\nMain Role', 'Jung Ha Joon\nMain Role', 'Lee Jung Ha\nMain Role', 'Jun Yoo Rim\nMain Role'}",Korean
What to Do with You (2018),Three & Half Stars,"Drama , Drama , Friendship , Life , Romance , Youth , Korean | Episodes 7","Advertisement drama for a facial mask. Saerom had a one-sided crush for her friend, Geun, for three years. Can their relationship ever evolve into something else? ",Release: 2018,"{'Kim Young Dae\nMain Role', 'Han Na Young\nMain Role', 'Gye Ye Rin\nSupport Role'}",Korean
Rumor (2019),Two & Half Stars,"Drama , Drama , Mystery , Thriller , Korean | Episodes 8","'Rumor' is an office thriller web drama about the story of the heroine who died through the internal auditor's death as a victim of workplace bullying, company absurdity and rumor. ",Release: 2019,"{'Kim Da Ye\nMain Role', 'Joo Seok Tae\nSupport Role', 'Chae Jong Hyeop\nMain Role', 'Kim Kyung Il\nSupport Role', 'Bae Jung Hwa\nSupport Role'}",Korean
Oui Go Up 3 Behind (2021),Not Rated,"Drama , Comedy , Friendship , Game-Show , Music , Korean | Episodes 10+",Bonus clips from Oui Go Up 3 (2021) variety show.,Release: 2021,"{'Kim Yo Han\nRegular Member', 'Kim Joon Seo\nRegular Member', 'Jang Dae Hyeon\nRegular Member', 'Kang Seok Hwa\nRegular Member', 'Yoo Yong Ha\nRegular Member', 'Kim Dong Han\nRegular Member'}",Korean
Do You Lightsum (2021),Two Stars,"Drama , Comedy , Friendship , Kshow , Music , Korean | Episodes 6",Do You Lightsum,Release: 2021,"{'', 'Guest', 'Nagai Hina\nRegular Member', 'Yoon Sang Ah\nRegular Member', 'Kim Na Young\nRegular Member', 'Regular Member', 'Han Cho Won\nRegular Member', 'Seo Eun Kwang\nGuest', 'Oh Hui Yeon\nRegular Member', 'Lee Ju Hyeon\nRegular Member', 'Lee Yu Jeong\nRegular Member', 'Min Hyuk\nGuest', 'Kim Ji An\nRegular Member'}",Korean
TO.1DAY (2021),Not Rated,"Drama , Kshow , Korean | Episodes 6",TO.1DAY,Release: 2021,"{'', 'Kim Min Su\nRegular Member', 'J.You\nRegular Member', 'Jang Kyung Ho\nRegular Member', 'Regular Member', 'Cha Woong Gi\nRegular Member', 'Chan\nRegular Member', 'Song Dong Geon\nRegular Member', 'Jerome\nRegular Member', 'Chi Hoon\nRegular Member', 'Lee Jae Yun\nRegular Member', 'Choi Ji Su\nRegular Member'}",Korean
Game of Princes: Will I Be the King? (2021),Five Stars,"Drama , Comedy , Drama , Friendship , Korean | Episodes 3","The members of THEBOYZ gather as princes and compete for the throne of THE B empire. During three episodes, the members fight through a series of games to test who possesses the key characteristics of a king such as wisdom, virtue and stamina. Do they have what it takes to take over the throne? ",Release: 2021,"{'', 'Bae Jacob\nMain Host', 'Kim Sun Woo\nMain Host', 'Main Host', 'New\nMain Host', 'Kim Young Hoon\nMain Host', 'Lee Joo Yeon\nMain Host', 'Q\nMain Host', 'Lee Hyun Jae\nMain Host', 'Kevin Moon\nMain Host', 'Joo Hak Nyun\nMain Host', 'Eric\nMain Host', 'Lee Sang Yeon\nMain Host'}",Korean
Hellbound (2021),Three Stars,"Drama , Drama , Horror , Mystery , Supernatural , Korean | Episodes 6","People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them. Jung Jin Soo is the head of the new religion Saejinrihwe. He speaks about the phenomenon when death angels from Hell come and state it's a revelation from God. Jung Jin Soo has intense charisma and a mysterious aspect. Bae Young Jae is a program director for a broadcasting station. He tries to dig out the truth about the religious group Saejinrihwe. Min Hye Jin is a lawyer. She stands up against the group “Hwasalchok” (‘Arrowhead’), which consists of people who blindly follow Saejinrihwe. Song So Hyun is Bae Young Jae’s wife. She collapses in emotional pain, which she can not deal with. Jin Kyung Hoon is a detective and investigates cases involving the appearance of angels of death. ",Release: 2021,"{'', 'Kim Hyun Joo\nMain Role', 'Support Role', 'Lee Re\nSupport Role', 'Im Hyun Kook\nSupport Role', 'Yoo Ah In\nMain Role', 'Kim Do Yoon\nSupport Role', 'Won Jin Ah\nMain Role', 'Ryu Kyung Soo\nSupport Role', 'Kim Shin Rok\nSupport Role', 'Park Jung Min\nMain Role', 'Yeon Sang Ho\nUnknown Role', 'Yang Ik Jun\nSupport Role'}",Korean
Today Office Tomorrow Romance (2020),Three & Half Stars,"Drama , Drama , Romance , Korean | Episodes 10","Kang Hye Mi is an office worker who's been at KS International for 4 years. She used to always be confident and energetic but lost her confidence and her faith in love after witnessing her scum ex-boyfriend cheating on her. To make matters worse, her ex-boyfriend is a general manager at her company, and she can't avoid running into him. Like with all office romances, after breaking up with him, she becomes the topic of all kinds of rumors. The stress and difficulties have been enough for her to constantly consider resignation. One day, she bumps into Na Jung Gook on her way to work and misses the bus, ruining an important presentation. Ironically, Na Jung Gook is joining Kang Hye Mi's team as a new employee, and they become a mentor and mentee. Na Jung Gook is a rare newcomer who is passionate about everything, without avoiding his boss and who lives by maintaining a work-life balance. As Kang Hye Mi works with Na Jung Gook, she finds herself increasingly attracted to him. And the past relationship between Kang Hye Mi and Na Jung Gook is... ",Release: 2020,"{'Lee Ye Young\nSupport Role', 'Chanmi\nMain Role', 'Park Sung Woo\nMain Role', 'Im So Young\nSupport Role'}",Korean
Two Kids Room VOL 5 (2019),Not Rated,"Drama , Comedy , Friendship , Kshow , Life , Music , Korean | Episodes 9",Season 5 of Stray Kids TV Show. ,Release: 2019,"{'I.N\nMain Host', 'Seo Chang Bin\nMain Host', 'Bang Chan\nMain Host', 'Lee Know\nMain Host', 'Felix\nMain Host', 'Kim Woo Jin\nMain Host', 'Han\nMain Host', 'Kim Seung Min\nMain Host', 'Hwang Hyun Jin\nMain Host'}",Korean
Two Kids Room VOL 4 (2019),Not Rated,"Drama , Documentary , Friendship , Kshow , Korean | Episodes 10",Season 4 of Stray Kids TV Show.,Release: 2019,"{'I.N\nMain Host', 'Seo Chang Bin\nMain Host', 'Bang Chan\nMain Host', 'Lee Know\nMain Host', 'Felix\nMain Host', 'Kim Woo Jin\nMain Host', 'Han\nMain Host', 'Kim Seung Min\nMain Host', 'Hwang Hyun Jin\nMain Host'}",Korean
Vampire House: The Favorite (2021),Not Rated,"Drama , Comedy , Drama , Korean | Episodes 2","Everyone from the NCT 127's Vampire House wants to become human for the person they love. They gather to discuss and play games and the winner will drink the family treasure - the wine ""Favorite"", which got the power to turn them human. ",Release: 2021,"{'Mark Lee\nRegular Member', 'Hae Chan\nRegular Member', 'Moon Tae Il\nRegular Member', 'Lee Tae Yong\nRegular Member', 'Jae Hyun\nRegular Member', 'Kim Do Young\nRegular Member', 'Kim Jung Woo\nRegular Member', 'Johnny\nRegular Member', 'Yuta\nRegular Member'}",Korean
SKZ Song Camp: Howl in Harmony (2021),Three & Half Stars,"Drama , Comedy , Friendship , Kshow , Music , Korean | Episodes 5",Stray Kids members get divided into three units. Each unit has a member from '3racha' and they work together to make a song. Within five episodes three songs will be made in total. ,Release: 2021,"{'Bang Chan\nRegular Member', 'Lee Know\nRegular Member', 'Felix\nRegular Member', 'Hwang Hyun Jin\nRegular Member', 'Han\nRegular Member', 'I.N\nRegular Member', 'Seo Chang Bin\nRegular Member', 'Kim Seung Min\nRegular Member'}",Korean
The World of CC (2021),One Star,"Drama , Drama , Romance , Youth , Korean | Episodes 8",Edit Translation English Español Português 한국어,Release: 2021,not available,Korean
Drama Stage Season 1: The History of Walking Upright (2017),Three Stars,"Drama , Drama , Romance , School , Youth , Korean | Episodes 10","Mi Na is a normal high school student who skatesboards to school every day and has an unacknowledged crush on family friend slash local tennis star Jong Min, who is her fellow student. Also Mi Na has the superpower to turn invisible twice a day. ",Release: 2017,not available,Korean
At Work Today (2021),Two Stars,"Drama , Documentary , Drama , Korean | Episodes 24+","Let us peek into the lives of Korean workers, how they live and make their money, through this 'worker vlog' program.",Release: 2021,"{'Park Sun Young\nMain Host', 'Kwang Hee\nMain Host', 'Kim Gu Ra\nMain Host'}",Korean
Ploud (2021),Two Stars,"Drama , Kshow , Music , Korean | Episodes 10",Ploud,Release: 2021,"{'', 'Choi Tae Hoon\nRegular Member', 'Regular Member', 'Oh Sung Jun\nRegular Member', 'Woo Kyung Jun\nRegular Member', 'Kim Dong Hyun\nRegular Member', 'Jang Hyun Soo\nRegular Member', 'Lee Ye Dam\nRegular Member', 'Daniel Jikal\nRegular Member', 'Tanaka Koki\nRegular Member', 'Cheon Jun Hyeok\nRegular Member', 'Eun Hwi\nRegular Member'}",Korean
Welcome to P NATION (2021),Not Rated,"Drama , Friendship , Kshow , Music , Korean | Episodes 3",Welcome to P NATION,Release: 2021,"{'Choi Tae Hoon\nRegular Member', 'Oh Sung Jun\nRegular Member', 'Woo Kyung Jun\nRegular Member', 'Jang Hyun Soo\nRegular Member', 'Tanaka Koki\nRegular Member', 'Cheon Jun Hyeok\nRegular Member', 'Eun Hwi\nRegular Member'}",Korean
Scene Number Paran (2020),Not Rated,"Drama , Comedy , Drama , Romance , Korean | Episodes 3","Yoon Soo, a junior mathematics major, falls in love with Bom, who’s taking the same class as him. One day, he overhears the conversation between Bom and her friends and finds out that Bom is interested in acting. So, he forms a fake film team as a way to get a chance to get closer to her. Yoon Soo bluffs about his club to Bom, which sets him up for disaster. Will he be able to get closer to Bom? What will happen to the film team? ",Release: 2020,"{'Jung Sung Bin\nUnknown Role', 'Jung Hyo Jun\nMain Role', 'Ahn Se Hwa\nUnknown Role', 'Kim Min Jung\nUnknown'}",Korean
First Love Story (2017),Not Rated,"Drama , Drama , Friendship , Romance , School , Youth , Korean | Episodes 6","Do you remember when we met for the first time? Hyun Jin - a girl who finally meets her coveted guy. Hee Jin - a girl that is still in love. Ha Seul - a girl who is a childhood friend. A college romance drama, features the members of the girl group ""LOOΠΔ"".",Release: 2017,"{'ViVi\nSupport Role', 'Im Yeo Jin\nSupport Role', 'Choi Dae Soo\nMain Role', 'Jo Ha Seul\nMain Role', 'Kim Hyun Jin\nMain Role', 'Jeon Hee Jin\nMain Role', 'Kim Jong Hun\nMain Role'}",Korean
Mr. Lee (2021),Four & Half Stars,"Drama , Drama , Mystery , Korean | Episodes 10",Mr. Lee,Release: 2021,"{'Im Hyun Joo\nMain Role', 'Park Geon Il\nMain Role', 'Hana\nMain Role'}",Korean
Star Road: SF9 (2019),Not Rated,"Drama , Documentary , Kshow , Korean | Episodes 12",Star Road returns with an in-depth look into the K-Pop boy group SF9. ,Release: 2019,"{'Kim Young Bin\nRegular Member', 'Yoo Tae Yang\nRegular Member', 'Kim In Sung\nRegular Member', 'Ro Woon\nRegular Member', 'Lee Da Won\nRegular Member', 'Lee Jae Yoon\nRegular Member', 'Hwi Young\nRegular Member', 'Cha Ni\nRegular Member'}",Korean
SF9 Center (2021),Five Stars,"Drama , Kshow , Music , Korean | Episodes 15",SF9 Centers,Release: 2021,"{'Kim Young Bin\nRegular Member', 'Yoo Tae Yang\nRegular Member', 'Kim In Sung\nRegular Member', 'Zu Ho\nRegular Member', 'Ro Woon\nRegular Member', 'Lee Da Won\nRegular Member', 'Lee Jae Yoon\nRegular Member', 'Hwi Young\nRegular Member', 'Cha Ni\nRegular Member'}",Korean
Ta-dah! “It’s B.A.P“ (2012),Not Rated,"Drama , Comedy , Kshow , Korean | Episodes 10","“Ta-dah! It’s B.A.P“ won’t be your standard run of the mill pre-debut reality show with scenes of the boys training; instead, the six members will be regarded as alien beings from another planet that are asked to undergo strenuous missions in their quest to become singers and take over the world. ",Release: 2012,"{'Moon Jong Up\nRegular Member', 'Jung Dae Hyun\nRegular Member', 'Bang Yong Guk\nRegular Member', 'Zelo\nRegular Member', 'Yoo Young Jae\nRegular Member', 'Kim Him Chan\nRegular Member'}",Korean
Mickey Mouse Club (2015),One & Half Star,"Drama , Comedy , Kshow , Music , Korean | Episodes 12","This is the S.Korean version of the American variety program Mickey Mouse Club . Except for the United States, which produced the Mickey Mouse Club, S.Korea became the first foreign language version of the show. Young members of SM Rookies appeared as the main stars, along with Super Junior's Leeteuk as the MC. Just like the original show, the cast prepare dances, cover popular songs, play games, and do drama sketches for the young audience to enjoy. It aired on S.Korea's Disney Channel.",Release: 2015,"{'Mark Lee\nRegular Member', '', 'Park Ji Sung\nRegular Member', 'Guest', 'Lee Teuk\nMain Host', 'Xiu Min\nGuest', 'Key\nGuest', 'Kang Kyun Sung\nGuest', 'Hae Chan\nRegular Member', 'Kim Sung Kyung\nRegular Member', 'Lau Henry\nGuest', 'Kim Jong Min\nGuest', 'Seo He Rin\nRegular Member', 'Lee Je No\nRegular Member', 'Na Jae Min\nRegular Member', 'Gong Hi Na\nRegular Member', 'Lee Min Hyuk\nGuest', 'Im Yoon Ah\nGuest', 'Regular Member', 'Lee Eun Hyuk\nGuest'}",Korean
Real Life Love Story: Season 1 (2017),Two & Half Stars,"Drama , Drama , Romance , Korean | Episodes 8",It's about different love stories that are based on the letters that the production has received in real life. ,Release: 2017,"{'Kim Doo Ri\nMain Role', 'Choi Chan Ho\nMain Role', 'Ryeoun\nMain Role', 'Kang Min Woo\nMain Role'}",Korean
Real Life Love Story: Season 2 (2018),Not Rated,"Drama , Drama , Romance , Korean | Episodes 9","The stories will continue to tell about ordinary young people who submit their own stories, some anonymously and some not. We will be shown 9 stories, such as: meeting at work with an ex-boyfriend who celebrates his new girlfriend's birthday; blind date; long distance relationships; strong obsession with the guy and complete control of movement; unrequited love. And many other interesting stories that our heroes coped with.",Release: 2018,"{'Ryeoun\nMain Role', 'Lau Henry\nGuest Role', 'Lee Ra\nMain Role', 'Kim Doo Ri\nMain Role', 'Ahn Ji Young\nGuest Role', 'Kim Jong Hun\nMain Role'}",Korean
Street Woman Fighter: Special (2021),Three Stars,"Drama , Kshow , Music , Korean | Episodes 3","The fierce women armed with stunning street dance take over the stage this summer. The unceasing battles between the real dancers will make you hold your breath. They boast their unique dance styles, skilled performance, and a highly competitive spirit. Eight dance crews get together on the fight stage and compete in the battles. In the fight zone, which crew will be the final winner to take the championship? A special episode compiled of behind the scene stories with Street Woman Fighter ",Release: 2021,"{'', 'Bicki\nRegular Member', 'Isak\nRegular Member', 'ZSun\nRegular Member', 'Gaga\nRegular Member', 'AIKI\nRegular Member', 'Rageon\nRegular Member', 'Ri.hey\nRegular Member', 'BORN\nRegular Member', 'Jillin\nRegular Member'}",Korean
The Oppa of Tteokbokki House (2021),Three Stars,"Drama , Comedy , Food , Friendship , Kshow , Korean | Episodes 10","The tteokbokki store that the 3 'Oppas' have opened! The 3 oppa owners that will serve a plate of tteokbokki, back to the times where people were still hyping and talking about it. The oppas will serve a plate of spicy, sweet tteokbokki that has many stories captured within it, will they be able to capture people's attention and let this store become a 'sparrow mill', not letting it be easily passed by?",Release: 2021,"{'Ji Suk Jin\nMain Host', 'Kim Jong Min\nMain Host', 'Lee Yi Kyung\nMain Host'}",Korean
I:LOVE:DM (2021),Not Rated,"Drama , Drama , Romance , School , Youth , Korean | Episodes 7","Where can there be a teenager without a story? If I send a DM to IABC, the Broadcasting Department of Iyego, IABC will take care of it! You must see it before you see Part 5!? The most fun way to enjoy Real:Time:Love Series! Teen Love Story of Iye High Broadcasters [I:Love:DM] ",Release: 2021,"{'Park Si Young\nGuest Role', 'Lee Ji Woo\nMain Role', 'Kim Ha Jun\nGuest Role', 'Park Jae Chan\nMain Role', 'Lee Won Jung\nSupport Role', 'Park Si Woo\nMain Role', 'So A Rin\nMain Role', 'Choi Eun Ji\nMain Role'}",Korean
